S,M,NLL,j,σ,AIC,β
50,10,-129.79746741421746,7,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,7,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,7,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,7,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,7,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,7,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,7,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,7,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,7,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,7,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
